Región,Fecha del Varamiento,N_ejemplares,Tipo de Especie,Comuna,Localidad,Sustrato,Latitud,Longitud,Estado de Desarrollo,Sexo,Condición Vital,Condición Corporal,Largo Aprox en metros,Heridas/Marcas,Acciones traslado / Centro de Atención / Rehabilitación,Participan Otras Instituciones,Se toman Muestras,Fecha de Inicio,Fecha de Término
3,2023-01-05,2,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,PLAYA GRANDE,Playa,2.633553333333E+001,7.0626825E+001,Adulto,Indeterminado,Muerto,Normal,0.45,Sin marcas,-,OTRO,NO APLICA,05-01-2023,05-01-2023
5,2023-01-07,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Concón,Los Lilenes,Roquerío,3.292816666666E+001,7.154622222216E+001,Juvenil,Indeterminado,Vivo,Normal,1.5,Sin marcas,-,-,-,NO APLICA,NO APLICA
5,2023-01-07,1,MU - Chungungo - Lontra felina,Puchuncaví,Puchuncaví,OTRO,3.276E+001,7.148472222216E+001,Juvenil,Indeterminado,Vivo,Normal,'0,5',Sin marcas,NO APLICA,Empresas,NO APLICA,07-01-2023,07-01-2023
16,2023-01-08,2,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,Cobquecura,Playa Arena,3.612243333333E+001,7.2806375E+001,Cría,Indeterminado,Vivo,Normal,0.7,Sin marcas,NO APLICA,ONG (Organización No Gubernamental),NO APLICA,08-01-2023,08-01-2023
8,2023-01-08,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Hualpen,LENGA,Playa Arena,3.676638888883E+001,7.317222222216E+001,Subadulto,Indeterminado,Muerto,Normal,'1,50',Sin marcas,NO APLICA,Municipalidad,NO APLICA,08-01-2023,08-01-2023
8,2023-01-08,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Tomé,COSTANERA DE COLIUMO,Playa,3.653916666666E+001,7.295777777766E+001,Adulto,Indeterminado,Muerto,-,NO APLICA,-,NO APLICA,NO APLICA,NO APLICA,NO APLICA,NO APLICA
10,2023-01-08,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Quellón,Punta de Lapas,Playa,4.313602777766E+001,7.362094444433E+001,Juvenil,Indeterminado,Vivo,Normal,'0,45',Sin marcas,NO APLICA,NO APLICA,NO APLICA,08-01-2023,09-01-2023
3,2023-01-08,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,el refugio,Playa Arena,2.625332777766E+001,7.064647777766E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),NO APLICA,08-01-2023,08-01-2023
5,2023-01-09,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Zapallar,zapallar,Playa Arena,3.262515833333E+001,7.143119166666E+001,Cría,Indeterminado,Vivo,Normal,1.50,Sin marcas,NO APLICA,NO APLICA,NO APLICA,09-01-2023,09-01-2023
5,2023-01-09,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Puchuncaví,Playa Ventana,Playa Arena,3.27438055555E+001,7.148666666666E+001,Juvenil,Indeterminado,Vivo,Normal,0.50,Sin marcas,NO APLICA,-,-,09-01-2023,09-01-2023
10,2023-01-09,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Puerto Montt,'Puerto Montt, Pelluhuin',Roquerío,4.1493918611E+001,7.289704444433E+001,Adulto,Hembra,Muerto,Normal,'1,7',Con marcas artificiales o heridas,NO APLICA,-,-,09-01-2023,09-01-2023
1,2023-01-09,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Iquique,Playa Brava,Playa Arena,2.025168888883E+001,7.013738333333E+001,Juvenil,Macho,Vivo,Normal,'0,95',Con marcas artificiales o heridas,Centro de Rescate y Rehabilitación de Mamíferos Marinos (CIREMAR) (Tarapacá),Municipalidad,-,09-01-2023,09-01-2023
3,2023-01-09,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Freirina,chañaral de aceituno,Roquerío,2.909076388883E+001,7.1467361111E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),NO APLICA,09-01-2023,09-01-2023
3,2023-01-09,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Caldera,'Rocas Negras, Bahia Inglesa',Roquerío,2.712974166666E+001,7.08660305555E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),NO APLICA,09-01-2023,09-01-2023
10,2023-01-10,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Puerto Montt,Pelluco,Playa Arena,4.148879166666E+001,7.290009444433E+001,Juvenil,Indeterminado,Vivo,Con Emaciación (muy flaco),0.3,Con marcas artificiales o heridas,Facultad de Medicina  Verinaria U. San Sebastián)  (Los Lagos),NO APLICA,-,10-01-2023,10-01-2023
7,2023-01-10,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Licantén,ILOCA,Playa Arena,3.494166666666E+001,7.218527777766E+001,Juvenil,Indeterminado,Vivo,Normal,0.4,Sin marcas,NO APLICA,SAG (servicio agrícola y ganadero),OTRA,10-01-2023,10-01-2023
10,2023-01-10,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Calbuco,Calbuco,Playa Grava,4.17674305555E+001,7.313339722216E+001,Juvenil,Indeterminado,Vivo,Normal,'0,3',Sin marcas,Centro de Conservación de la Biodiversidad Chiloé-Silvestre (Chiloé),Carabinero de Chile,NO APLICA,NO APLICA,NO APLICA
6,2023-01-10,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Pichilemu,Punta de Lobos,Roquerío,3.44255E+001,7.204452777766E+001,Adulto,Indeterminado,Vivo,Normal,200,-,NO APLICA,-,-,10-01-2023,11-01-2023
2,2023-01-10,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Mejillones,Mejillones,OTRO,2.30980555555E+001,7.045277777766E+001,Adulto,Indeterminado,Muerto,Normal,1.7,Sin marcas,NO APLICA,NO APLICA,NO APLICA,10-01-2023,10-01-2023
2,2023-01-10,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Antofagasta,El Huascar,Playa,2.373194444433E+001,7.043916666666E+001,Adulto,Macho,Vivo,Normal,2,Sin marcas,NO APLICA,SAG (servicio agrícola y ganadero),Laboratorios,10-01-2023,10-01-2023
3,2023-01-10,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Caldera,PLAYA ZAPATILLA,Roquerío,2.686974166666E+001,7.0816786111E+001,Juvenil,Macho,Vivo,Normal,1.3,-,Municipalidad de Caldera (Atacama ),Municipalidad,OTRA,10-01-2023,10-01-2023
1,2023-01-10,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Huara,Pisagua viejo,Roquerío,1.955506666666E+001,7.020615277766E+001,Adulto,Indeterminado,Muerto,Normal,'0,45',Sin marcas,-,SAG (servicio agrícola y ganadero),NO APLICA,10-01-2023,10-01-2023
10,2023-01-11,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Puerto Montt,CHINQUIHUE,Playa,4.151385277766E+001,7.302841666666E+001,Juvenil,Indeterminado,Vivo,Normal,40,Sin marcas,Facultad de Medicina  Verinaria U. San Sebastián)  (Los Lagos),-,NO APLICA,12-01-2023,12-01-2023
16,2023-01-11,3,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,Cobquecura,Playa Arena,3.613104444433E+001,7.280608888883E+001,Cría,Indeterminado,Vivo,Normal,'0,80',Sin marcas,NO APLICA,ONG (Organización No Gubernamental),NO APLICA,11-01-2023,11-01-2023
16,2023-01-12,2,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,Buchupureo,Playa Arena,3.605722222216E+001,7.2786111111E+001,Cría,Indeterminado,Vivo,Normal,'0,70',-,NO APLICA,ONG (Organización No Gubernamental),NO APLICA,12-01-2023,12-01-2023
8,2023-01-12,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Tomé,COSTANERA DE COLIUMO,Roquerío,3.654E+001,7.295722222216E+001,Juvenil,Indeterminado,Vivo,Normal,40 cm,Sin marcas,NO APLICA,Municipalidad,NO APLICA,NO APLICA,NO APLICA
7,2023-01-12,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Chanco,loanco,Playa,3.5586111111E+001,7.262833333333E+001,Subadulto,Macho,Muerto,Normal,1 mts,Con mordidas,NO APLICA,NO APLICA,NO APLICA,12-01-2023,12-01-2023
2,2023-01-12,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Mejillones,Punta Itata,Playa,2.293333333333E+001,7.030722222216E+001,Cría,Macho,Vivo,Normal,50,Sin marcas,Centro de Rescate y Rehabilitación de Fauna Silvestre (U de Antofagasta),NO APLICA,NO APLICA,12-01-2022,15-01-2022
10,2023-01-12,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Quellón,Chaiguao,Playa,4.3137861111E+001,7.350008333333E+001,Juvenil,Indeterminado,Vivo,Normal,'0,4',Sin marcas,Centro de Conservación de la Biodiversidad Chiloé-Silvestre (Chiloé),SAG (servicio agrícola y ganadero),OTRA,NO APLICA,NO APLICA
16,2023-01-12,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Cobquecura,Rinconada de Taucú,Playa Arena,3.617356944433E+001,7.280966388883E+001,Subadulto,Indeterminado,Vivo,Con Emaciación (muy flaco),0.45,Sin marcas,NO APLICA,ONG (Organización No Gubernamental),NO APLICA,12-01-2023,12-01-2023
1,2023-01-13,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Iquique,Punta Cavancha,Roquerío,2.023638888883E+001,7.015277777766E+001,Juvenil,Macho,Vivo,Normal,'1,15',Con marcas artificiales o heridas,Centro de Rescate y Rehabilitación de Mamíferos Marinos (CIREMAR) (Tarapacá),Municipalidad,-,13-01-2023,13-01-2023
6,2023-01-13,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Pichilemu,Playa Infiernillo,Playa Arena,3.438847222216E+001,7.202008333333E+001,Juvenil,Indeterminado,Vivo,Normal,30,Sin marcas,NO APLICA,SAG (servicio agrícola y ganadero),OTRA,13-01-2023,20-01-2023
5,2023-01-13,1,AV - Pingüino de Humboldt - Spheniscus humboldti,La Ligua,LA BALLENA,Playa Arena,3.227584166666E+001,7.147157222216E+001,Subadulto,Indeterminado,Vivo,Normal,0.35,Sin marcas,-,NO APLICA,NO APLICA,13-01-2023,13-01-2023
3,2023-01-13,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,CAPITANIA DE PUERTO CHAÑARAL,OTRO,2.635166666666E+001,7.0631111111E+001,Adulto,Indeterminado,Muerto,Normal,'0,45',Sin marcas,-,SAG (servicio agrícola y ganadero),Laboratorios,13-01-2023,13-01-2023
3,2023-01-13,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,LOS AMARILLOS,Playa Arena,2.623115833333E+001,7.065342777766E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),NO APLICA,13-01-2023,13-01-2023
3,2023-01-13,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,CHAÑARAL,Playa Arena,2.631674166666E+001,7.063591944433E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),NO APLICA,13-01-2023,13-01-2023
2,2023-01-13,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Mejillones,Playa punta Itata,Playa Arena,2.29330555555E+001,7.03075E+001,Subadulto,Indeterminado,Muerto,Normal,0.60,Sin marcas,-,Municipalidad,NO APLICA,13-01-2023,13-01-2023
5,2023-01-14,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Puchuncaví,vantanas,Playa Arena,3.274203888883E+001,7.14889055555E+001,Subadulto,Indeterminado,Vivo,Normal,1.0,Sin marcas,-,NO APLICA,NO APLICA,14-01-2023,14-01-2023
5,2023-01-14,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Concón,RITOQUE,Playa Arena,3.2910361111E+001,7.15067555555E+001,Adulto,Indeterminado,Muerto,Normal,1.20,Sin marcas,NO APLICA,NO APLICA,NO APLICA,14-01-2023,14-01-2023
16,2023-01-14,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Cobquecura,Colmuyao,Playa Arena,3.6263611111E+001,7.280833333333E+001,Subadulto,Indeterminado,Vivo,Normal,'0,45',Sin marcas,-,SAG (servicio agrícola y ganadero),NO APLICA,14-01-2023,14-01-2023
15,2023-01-15,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Arica,Playa Chinchorro,Playa Arena,1.845558333333E+001,7.030281944433E+001,Cría,Macho,Vivo,Normal,0.5,Con marcas artificiales o heridas,NO APLICA,Municipalidad,NO APLICA,15-01-2023,15-01-2023
5,2023-01-15,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Concón,Playa La Boca,Playa Arena,3.291883333333E+001,7.151169444433E+001,Adulto,Indeterminado,Muerto,Normal,0.4,Sin marcas,-,NO APLICA,NO APLICA,NO APLICA,NO APLICA
3,2023-01-15,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,Playa el Refugio,Playa Arena,2.625138888883E+001,7.0646111111E+001,Adulto,Indeterminado,Muerto,Normal,'0,45',-,-,SAG (servicio agrícola y ganadero),NO APLICA,15-01-2023,15-01-2023
14,2023-01-16,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Corral,corral,Roquerío,3.988696388883E+001,7.342815277766E+001,Juvenil,Hembra,Muerto,Normal,1 metro,-,-,Municipalidad,NO APLICA,16-01-2023,16-01-2023
10,2023-01-16,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Puqueldón,aldachildo,Playa Arena,4.258332222216E+001,7.36121555555E+001,Cría,Macho,Vivo,Normal,65,Sin marcas,NO APLICA,NO APLICA,NO APLICA,16-01-2023,16-01-2023
8,2023-01-16,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Tomé,PLAYA MERQUICHE,Playa Arena,3.64855555555E+001,7.290722222216E+001,Juvenil,Indeterminado,Vivo,Normal,40 CM,-,NO APLICA,NO APLICA,NO APLICA,11-01-2023,17-01-2023
16,2023-01-16,2,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,Cobquecura,Playa Arena,3.612972222216E+001,7.2805E+001,Cría,Indeterminado,Vivo,Normal,'0,75',Sin marcas,NO APLICA,ONG (Organización No Gubernamental),NO APLICA,16-01-2023,16-01-2023
14,2023-01-16,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Valdivia,Playa Curiñanco,Playa Arena,3.972447222216E+001,7.339944444433E+001,Subadulto,Indeterminado,Vivo,Normal,30,Sin marcas,CEREFAS Universidad Austral de Chile (Valdivia),SAG (servicio agrícola y ganadero),NO APLICA,NO APLICA,NO APLICA
3,2023-01-16,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Huasco,LIMITE NORTE HUMEDAL,Playa Arena,2.845194444433E+001,7.120694444433E+001,Adulto,Indeterminado,Muerto,Normal,'0,45',Sin marcas,-,SAG (servicio agrícola y ganadero),NO APLICA,16-01-2023,16-01-2023
3,2023-01-16,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,PLAYA LOS PIQUEROS,Playa Arena,2.61880555555E+001,7.065583333333E+001,Adulto,Indeterminado,Muerto,Normal,'0,45',Sin marcas,-,SAG (servicio agrícola y ganadero),NO APLICA,16-01-2023,16-01-2023
5,2023-01-17,1,MU - Chungungo - Lontra felina,Quintero,quintero el papagayo,Roquerío,3.278413333333E+001,7.153639444433E+001,Subadulto,Hembra,Muerto,Normal,0.8,Sin marcas,-,NO APLICA,NO APLICA,17-01-2023,17-01-2023
2,2023-01-17,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Antofagasta,Juan Lopez,Roquerío,2.351444444433E+001,7.05305555555E+001,Juvenil,Indeterminado,Vivo,Normal,1.5,Sin marcas,NO APLICA,NO APLICA,NO APLICA,17-01-2023,17-01-2023
10,2023-01-17,4,AV - Pingüino de Magallanes - Spheniscus magellanicus,Quellón,Chaiguao,Playa Arena,4.313916666666E+001,7.349797222216E+001,Juvenil,Indeterminado,Muerto,Normal,'0,4',Con marcas artificiales o heridas;Con mordidas,NO APLICA,NO APLICA,NO APLICA,17-01-2023,17-01-2023
10,2023-01-17,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Puqueldón,aldachildo,Casas,4.2583261111E+001,7.3611361111E+001,Cría,Macho,Vivo,Normal,'0,65 m',Sin marcas,Centro de Conservación de la Biodiversidad Chiloé-Silvestre (Chiloé),NO APLICA,NO APLICA,17-01-2023,17-01-2023
16,2023-01-17,3,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,Cobquecura,Playa Arena,3.613027777766E+001,7.28055555555E+001,Cría,Indeterminado,Vivo,Normal,'0,78',Sin marcas,NO APLICA,ONG (Organización No Gubernamental),NO APLICA,17-01-2023,17-01-2023
5,2023-01-17,1,MU - Chungungo - Lontra felina,Puchuncaví,AES ANDES,OTRO,3.275197222216E+001,7.148402777766E+001,Adulto,Indeterminado,Vivo,Normal,0.3,Sin marcas,-,NO APLICA,NO APLICA,17-01-2023,17-01-2023
3,2023-01-17,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Huasco,humedal Huasco,Playa Arena,2.845957222216E+001,7.1192875E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),-,17-01-2023,17-01-2023
3,2023-01-17,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Caldera,ISLA CHATA,Playa Arena,2.727089166666E+001,7.0954436111E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),-,17-01-2023,17-01-2023
3,2023-01-17,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Caldera,RAMADA,Playa Arena,2.700902222216E+001,7.079684722216E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),-,17-01-2023,17-01-2023
2,2023-01-17,1,INDETERMINADA,Tocopilla,PLAYA LOS CHINOS,Playa Grava,2.2423611111E+001,7.025694444433E+001,Juvenil,Indeterminado,Muerto,Con Emaciación (muy flaco),1.1,-,NO APLICA,OTRO,NO APLICA,17-07-2023,17-07-2023
16,2023-01-18,2,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,cobquecura,Playa Arena,3.612775833333E+001,7.280505277766E+001,Cría,Indeterminado,Vivo,Normal,'0,73',Sin marcas,-,ONG (Organización No Gubernamental),NO APLICA,18-01-2023,18-12-2023
3,2023-01-18,2,AV - Pingüino de Humboldt - Spheniscus humboldti,Chañaral,EL REFUGIO,Playa Arena,2.625332777766E+001,7.064647777766E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),-,18-01-2023,18-01-2023
1,2023-01-19,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Iquique,Buque Varado,OTRO,2.023919166666E+001,7.014866944433E+001,Juvenil,Macho,Vivo,Normal,'0,97',Sin marcas,Centro de Rescate y Rehabilitación de Mamíferos Marinos (CIREMAR) (Tarapacá),Municipalidad,NO APLICA,18-01-2023,19-01-2023
10,2023-01-19,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Quinchao,achao,Playa,4.246964722216E+001,7.3489411111E+001,Juvenil,Indeterminado,Vivo,Normal,'1,10 m',Sin marcas,NO APLICA,Armada de Chile,NO APLICA,19-01-2023,19-01-2023
8,2023-01-19,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Tomé,Dichato,Playa Arena,3.654416666666E+001,7.293277777766E+001,Adulto,Indeterminado,Vivo,Normal,0.5,Con marcas artificiales o heridas,Centro de Atención Fauna Silvestre Ñacurutu (Bíobio),NO APLICA,NO APLICA,19-01-2022,19-01-2022
2,2023-01-19,2,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Mejillones,Punta Itata,Playa,2.293333333333E+001,7.030777777766E+001,Cría,Hembra,Vivo,Normal,50,Sin marcas,-,NO APLICA,NO APLICA,19-01-2023,23-01-2023
2,2023-01-19,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Mejillones,Punta Itata,Playa,2.293333333333E+001,7.030777777766E+001,Cría,Macho,Vivo,Normal,50,Sin marcas,-,NO APLICA,NO APLICA,19-01-2023,20-01-2023
14,2023-01-19,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Valdivia,Costanera Valdivia,Calle,3.98095E+001,7.324594444433E+001,Adulto,Macho,Vivo,Normal,2,Con mordidas,-,NO APLICA,NO APLICA,19-01-2023,19-01-2023
16,2023-01-19,6,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,cobquecura,Playa Arena,3.6125975E+001,7.280567777766E+001,Cría,Indeterminado,Vivo,Normal,'0,76',Sin marcas,-,ONG (Organización No Gubernamental),NO APLICA,19-01-2023,19-01-2023
14,2023-01-19,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Valdivia,Curiñanco,Playa Arena,3.972127777766E+001,7.340163888883E+001,Juvenil,Indeterminado,Vivo,Normal,0.3,Sin marcas,CEREFAS Universidad Austral de Chile (Valdivia),SAG (servicio agrícola y ganadero),NO APLICA,NO APLICA,NO APLICA
3,2023-01-19,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Caldera,EL REFUGIO,Playa Arena,2.625332777766E+001,7.064647777766E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),-,19-01-2023,19-01-2023
3,2023-01-19,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Caldera,ISLA CHATA,Playa Arena,2.727089166666E+001,7.0954436111E+001,Adulto,Indeterminado,Muerto,Normal,0.45,-,-,SAG (servicio agrícola y ganadero),-,19-01-2023,19-01-2023
5,2023-01-20,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Papudo,PAPUDO,Roquerío,3.250342222216E+001,7.145135833333E+001,Juvenil,Indeterminado,Vivo,Normal,1.20,Sin marcas,NO APLICA,NO APLICA,NO APLICA,20-01-2023,20-01-2023
10,2023-01-20,1,AV - Pingüino de Magallanes - Spheniscus magellanicus,Ancud,Ancud,Playa Arena,4.1870261111E+001,7.378078888883E+001,Juvenil,Indeterminado,Vivo,Normal,'0,35',Con marcas artificiales o heridas,Centro de Conservación de la Biodiversidad Chiloé-Silvestre (Chiloé),NO APLICA,-,20-01-2023,20-01-2023
15,2023-01-20,1,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Arica,'Costado planta Corpesca, Caleta Quiane',Playa Grava,1.850521666666E+001,7.031949722216E+001,Cría,Indeterminado,Muerto,Normal,1,Sin marcas,-,-,-,NO APLICA,NO APLICA
10,2023-01-20,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Maullín,CARELMAPU,Puerto,4.174777777766E+001,7.370583333333E+001,Juvenil,Indeterminado,Vivo,Con Emaciación (muy flaco),0.4,Con marcas artificiales o heridas,-,Armada de Chile,NO APLICA,20-01-2023,20-01-2023
16,2023-01-20,27,'PI - Lobo Marino Común, Lobo de Un Pelo - Otaria flavescens',Cobquecura,cobquecura,Playa Arena,3.612508888883E+001,7.280557777766E+001,Cría,Indeterminado,Vivo,Normal,'0,78',Sin marcas,NO APLICA,ONG (Organización No Gubernamental),NO APLICA,20-01-2023,20-01-2023
10,2023-01-20,1,AV - Pingüino de Humboldt - Spheniscus humboldti,Maullín,CARELMAPU,Puerto,4.174777777766E+001,7.370583333333E+001,Juvenil,Indeterminado,Vivo,Con Emaciación (muy flaco),0.4,Con marcas artificiales o heridas,OTRA,NO APLICA,NO APLICA,21-01-2023,21-01-2023
